box;booth;3.8
classroom;hallway;2.0
car;elevator;1.03
bed;couch;3.42
clothes;button;2.3
clothes;coat;5.35
apple;sauce;1.43
chicken;steak;3.73
car;hose;0.87
milk;juice;4.05
cup;cone;3.17
throat;nose;2.8
bone;teeth;4.17
bone;elbow;3.78
cup;jar;5.13
birthday;year;1.67
word;clue;2.53
muscle;bone;3.65
muscle;tongue;5.0
boy;soldier;2.15
guy;girl;3.33
bed;chair;3.5
clothes;jacket;5.15
gun;knife;3.65
tin;metal;5.63
bottle;container;7.93
hen;turkey;6.13
meat;bread;1.67
arm;bone;3.83
apple;lemon;4.05
night;dawn;2.95
dinner;soup;3.72
snow;storm;4.8
nail;hand;3.42
dog;horse;2.38
arm;neck;1.58
ball;glove;1.75
dinner;chicken;2.85
child;boy;5.75
nose;mouth;3.73
street;car;2.38
bell;door;2.2
box;hat;1.3
anger;mood;4.1
beauty;age;1.58
book;theme;2.58
friend;mother;2.53
car;factory;2.75
chapter;choice;0.48
winner;presence;1.08
winner;goal;3.23
trick;size;0.48
jail;choice;1.08
condition;boy;0.48
hole;agreement;0.3
task;woman;0.68
presence;door;0.48
task;straw;0.68
island;task;0.3
night;chapter;0.48
gun;trick;0.48
bath;trick;0.58
diet;apple;1.18
chapter;tail;0.3
course;stomach;0.58
wife;straw;0.4
hole;wife;0.68
bath;wife;0.48
woman;fur;0.58
apple;sunshine;0.58
gun;dawn;1.18
meal;waist;0.98
gun;fur;0.3
couch;baseball;0.88
worker;camera;0.68
deck;mouse;0.48
rice;boy;0.4
people;gun;0.68
ankle;window;0.3
princess;island;0.3
container;mouse;0.3
wagon;container;2.65
people;balloon;0.48
dollar;people;0.4
bath;balloon;0.4
stomach;bedroom;0.4
bicycle;bedroom;0.4
log;bath;0.4
bowl;tail;0.48
go;come;2.42
take;steal;6.18
listen;hear;8.17
protect;defend;9.13
kill;destroy;5.9
create;make;8.72
ignore;avoid;6.87
carry;bring;5.8
leave;enter;0.95
achieve;accomplish;8.57
receive;give;1.47
think;decide;5.13
greet;meet;6.17
agree;argue;0.77
destroy;make;1.6
save;protect;6.58
give;lend;7.22
understand;know;7.47
take;receive;5.08
decide;choose;8.87
accept;believe;6.75
roam;wander;8.83
spend;save;0.55
leave;go;7.63
know;believe;5.5
gather;meet;7.3
make;earn;7.62
forget;ignore;3.07
shrink;grow;0.23
arrive;leave;1.33
arrive;come;7.05
send;receive;1.08
kill;choke;4.92
participate;join;7.7
go;enter;4.0
take;carry;5.23
forget;learn;1.18
ask;pray;3.72
go;send;3.75
take;deliver;4.37
speak;hear;3.02
lose;keep;1.05
go;allow;3.62
learn;listen;3.88
create;build;8.48
steal;buy;1.13
kill;hang;4.45
forget;know;0.92
create;imagine;5.13
do;happen;4.23
win;accomplish;7.85
deserve;earn;5.8
get;put;1.98
pretend;imagine;8.47
cherish;keep;4.85
cooperate;participate;6.43
achieve;try;4.42
say;participate;3.82
come;bring;2.42
take;leave;2.47
argue;prove;4.83
find;disappear;0.77
make;become;4.77
give;put;3.65
understand;listen;4.68
expand;grow;8.27
borrow;sell;1.73
keep;protect;5.4
explain;prove;4.1
agree;please;4.13
forgive;forget;3.92
understand;forgive;4.87
remind;forget;0.87
realize;discover;7.47
ignore;ask;1.07
accept;forgive;3.73
discuss;explain;6.67
owe;lend;2.32
explore;discover;8.48
keep;borrow;2.25
arrange;organize;8.27
give;borrow;2.22
kill;defend;2.63
disappear;shrink;5.8
deliver;carry;3.88
breathe;choke;1.37
become;seem;2.63
pretend;seem;4.68
accomplish;become;4.0
want;choose;4.78
lose;get;0.77
try;think;2.62
become;appear;4.77
leave;ignore;4.42
leave;wander;3.57
keep;give;1.05
give;allow;5.15
bring;send;2.97
absorb;learn;5.48
leave;appear;0.97
create;destroy;0.63
begin;go;7.42
get;buy;5.08
collect;save;6.67
join;add;8.1
accept;deliver;1.58
attach;join;7.75
put;hang;3.0
go;sell;0.97
communicate;pray;3.55
give;steal;0.5
add;build;4.92
organize;become;1.77
give;know;0.88
cooperate;join;5.18
borrow;want;1.77
ignore;explore;0.4
enter;owe;0.68
remind;sell;0.4
